Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-04-16,14.436222128501644,14.781878318803972,14.21256239274352,14.70732593536377,3427500,0.0,0
2012-04-17,14.788655075328187,15.046203416446884,14.775099627328535,15.012314796447754,4005600,0.0,0
2012-04-18,14.944538786358082,15.161422075284964,14.842875512225316,15.10720157623291,3843200,0.0,0
2012-04-19,15.08009068034755,15.276640797360411,14.998759285410136,15.10720157623291,3532100,0.0,0
2012-04-20,15.202092940373424,15.391864113273495,15.052985541415753,15.168204307556152,3146800,0.0,0
2012-04-23,15.025872719949561,15.188534244587741,14.802212961982201,15.16142463684082,2837800,0.0,0
2012-04-24,15.154646225974085,15.310530018442046,15.019094315216572,15.100425720214844,3579100,0.0,0
2012-04-25,15.269865566499105,15.324086074403738,15.073315417395513,15.303752899169922,2028500,0.0,0
2012-04-26,15.276643291577043,15.44608254036888,15.229199216031471,15.303752899169922,1662900,0.0,0
2012-04-27,15.4257539177667,15.4257539177667,15.086875320169153,15.371533393859863,2741300,0.0,0
2012-04-30,15.357972869385597,15.439304274754537,15.073314889672549,15.425748825073242,1677100,0.0,0
2012-05-01,15.425749546209822,15.642631580374216,15.18853433657293,15.493525505065918,3127500,0.0,0
2012-05-02,15.378307032621919,15.486748051606597,15.256310563084428,15.432527542114258,1581700,0.0,0
2012-05-03,15.398636771327807,15.439303117323078,14.890319080855539,15.23597526550293,2515900,0.0,0
2012-05-04,15.161424344705287,15.249532184083694,14.795434951782227,14.795434951782227,1825500,0.0,0
2012-05-07,14.707328900478968,14.910655503899076,14.266785771870373,14.293896675109863,2926900,0.0,0
2012-05-08,14.171897436455211,14.619216911053778,14.029569100318742,14.307449340820312,4384000,0.0,0
2012-05-09,14.124455107959202,14.334559402975284,14.029569547510418,14.171897888183594,4039400,0.0,0
2012-05-10,14.253228682406965,14.382001568160893,14.151564108880835,14.280338287353516,2525900,0.0,0
2012-05-11,14.131232989321926,14.395557792198833,13.670358045943551,13.778799057006836,5106800,0.0,0
2012-05-14,13.656805094053988,14.375227246919136,13.602584578606034,14.151567459106445,3142200,0.0,0
2012-05-15,14.083792361256487,14.165122485625718,13.799134340526138,13.975351333618164,3086100,0.0,0
2012-05-16,14.049903668381472,14.30067435160594,14.022794057954481,14.124457359313965,3427900,0.0,0
2012-05-17,13.514479239723634,13.690696270888976,12.511397578265589,12.552063941955566,12019700,0.0,0
2012-05-18,12.518173984410522,13.107823268492108,12.287736452030975,12.92482852935791,4928300,0.0,0
2012-05-21,12.931607499542935,13.046826276813173,12.829944176709027,12.863831520080566,4801600,0.0,0
2012-05-22,12.972273746845993,13.0671606437882,12.843500796177732,12.904499053955078,3502300,0.0,0
2012-05-23,12.836719759287154,13.067157275328269,12.660502759213415,12.931605339050293,5500000,0.0,0
2012-05-24,13.040907052488162,13.116051511568601,12.808643545296446,13.09555721282959,4793200,0.15,0
2012-05-25,13.136543364985394,13.484938595476367,13.129711932666456,13.334650993347168,3141800,0.0,0
2012-05-29,13.389301960000548,13.51226514326504,13.184362886905538,13.464445114135742,2699800,0.0,0
2012-05-30,13.327821329710615,14.4413188862158,13.04773908227794,13.430290222167969,6733000,0.0,0
