Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-19,116.27889027292571,117.16625553939278,116.19595326286588,116.80965423583984,125291100,0.0,0
2012-03-20,116.14618568784759,116.61060253188818,115.80616169331434,116.46961975097656,121729700,0.0,0
2012-03-21,116.53600247584983,116.6438054269347,116.03840561676317,116.27891540527344,122388400,0.0,0
2012-03-22,115.42465610319259,115.73151285451601,115.0597662345625,115.44124603271484,135216700,0.0,0
2012-03-23,115.54075840401723,115.94711671807116,114.90217906912363,115.81442260742188,120521000,0.0,0
2012-03-26,116.6437739188634,117.43992614746092,116.60231807048248,117.43992614746094,120164000,0.0,0
2012-03-27,117.54773031503282,117.62236602016702,117.00037650189705,117.07501220703125,119868500,0.0,0
2012-03-28,117.01699747810237,117.19944879755384,115.8061853266892,116.49452209472656,148562100,0.0,0
2012-03-29,115.8061833155023,116.51111000608722,115.35005502479513,116.29547882080078,164963700,0.0,0
2012-03-30,116.86770728338958,116.97552287228653,116.14620333778527,116.77648162841797,135486800,0.0,0
2012-04-02,116.63546512895142,117.93750249606472,116.4032567387313,117.63064575195312,151741100,0.0,0
2012-04-03,117.46478068638787,117.66382186641843,116.46129880354444,117.1496353149414,155806700,0.0,0
2012-04-04,116.28719539389803,116.38670969654544,115.55739009604947,115.98863983154297,146896000,0.0,0
2012-04-05,115.59056872396562,116.2706042087674,115.49104176797526,115.93058013916016,137439400,0.0,0
2012-04-09,114.47098255028165,115.97204899075251,114.31340980271173,114.62855529785156,127555900,0.0,0
2012-04-10,114.40461328950751,114.72804736230864,112.58840170592796,112.70450592041016,235360300,0.0,0
2012-04-11,113.85724967161624,114.06457951217193,113.40942278395603,113.61675262451172,154133000,0.0,0
2012-04-12,113.72458138181348,115.19246771203173,113.64164437420774,115.10124206542969,154321500,0.0,0
2012-04-13,114.83586842678254,115.12613530406688,113.62505642838701,113.73287200927734,169246700,0.0,0
2012-04-16,114.31336742284006,114.47922874927113,113.26842967735709,113.65821075439453,147825300,0.0,0
2012-04-17,114.31339042081802,115.57395953323444,114.19728620351721,115.34175109863281,147877600,0.0,0
2012-04-18,114.82758010191257,115.34175412711512,114.76123302536854,114.95197296142578,123884200,0.0,0
2012-04-19,114.96858926706733,115.39982638190958,113.67485261371294,114.21390533447266,198666700,0.0,0
2012-04-20,114.71977805552207,115.13443784203618,114.33828548398763,114.40463256835938,143199600,0.0,0
2012-04-23,113.23525896776121,113.54211573357827,112.73767494826795,113.44258880615234,171844900,0.0,0
2012-04-24,113.5421176467795,114.16410717243352,113.45089201017387,113.87384033203125,137484200,0.0,0
2012-04-25,114.98512858172224,115.48272527843808,114.88561430414293,115.43296813964844,150252200,0.0,0
